Organization Name,Organization Name URL,Number of Employees,Heat Score Tier,Operating Status,IPO Status,Headquarters Location,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
Superior Energy Services,https://www.crunchbase.com/organization/superior-energy-services,1001-5000,High,Active,Public,"Houston, Texas, United States","Commercial, Energy, Energy Management, Oil and Gas",Superior Energy has a history of developing specialized tools and technologies designed to meet customer needs.,"183,813",,"173,950"
Teachers of Tomorrow,https://www.crunchbase.com/organization/teachers-of-tomorrow,101-250,High,Active,Private,"Houston, Texas, United States",Education,Teachers of Tomorrow is a provider of largest national alternative certification.,"185,072",,"175,164"
Wayne Enterprises,https://www.crunchbase.com/organization/wayne-enterprises,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Fashion, Renewable Energy",Wayne Enterprises is an oil & energy company offering fire resistant clothing.,"190,621",,"180,496"
The Call Center Doctors,https://www.crunchbase.com/organization/the-call-center-doctors,101-250,High,Active,Private,"Houston, Texas, United States","Call Center, Recruiting, Training, VoIP","The Call Center Doctors delivers consulting, call center setup, recruiting, sales training, and technology integration services.","191,264",,"181,108"
WeDoTrash,https://www.crunchbase.com/organization/wedotrash,101-250,High,Active,Private,"Houston, Texas, United States","Recycling, Training, Waste Management",WeDoTrash is a waste management company that offers trash collection and recycling services.,"191,472",,"181,307"
Carriage Services,https://www.crunchbase.com/organization/carriage-services,5001-10000,High,Active,Public,"Houston, Texas, United States","Family, Funerals, Service Industry","Carriage Services, Inc. (Carriage) is a provider of death care services and merchandise in the United States.","205,631",,"194,827"
Triple-S Steel Holdings,https://www.crunchbase.com/organization/triple-s-steel-holdings,501-1000,High,Active,Private,"Houston, Texas, United States","Manufacturing, Precious Metals",Triple-S Steel Holdings operates as a steel company.,"216,698",,"205,406"
Entelligence,https://www.crunchbase.com/organization/entelligence-ebc1,101-250,High,Active,Private,"Houston, Texas, United States","Information Services, Information Technology",Entelligence helps the world’s technology leaders quickly deliver their most advanced cloud solutions to their most important customers.,"217,882",,"206,523"
LaCalle Group,https://www.crunchbase.com/organization/lacalle-group,101-250,High,Active,Private,"Houston, Texas, United States","Education, Marketing",LaCalle Group is a family of companies that challenge the traditional boundaries of geography.,"223,651",,"212,014"
NuSmile,https://www.crunchbase.com/organization/nusmile,101-250,High,Active,Private,"Houston, Texas, United States","Dental, Health Care, Manufacturing",NuSmile manufactures children's crowns and other pediatric restorative dentistry supplies.,"228,085",,"216,217"
Bursys,https://www.crunchbase.com/organization/bursys,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Internet of Things, IT Management, Software","Bursys is an IT consultancy that focuses on SaaS software development, intelligent analytics, IT outsourcing, IoT and cloud services.","232,792",,"220,633"
The Lanier Law Firm,https://www.crunchbase.com/organization/the-lanier-law-firm,101-250,High,Active,Private,"Houston, Texas, United States","Law Enforcement, Legal, Legal Tech","The Lanier Law Firm is a legal firm that focuses on pharmaceutical liability, personal injury, business litigation, and medical malpractice.","242,048",,"229,312"
OrthoLoneStar,https://www.crunchbase.com/organization/ortholonestar,1001-5000,High,Active,Private,"Houston, Texas, United States","Health Care, Hospital, Medical, Therapeutics",OrthoLoneStar provides orthopaedic surgery services.,"248,887",,"235,718"
TopSpot Internet Marketing,https://www.crunchbase.com/organization/topspot-internet-marketing-b9b1,101-250,High,Active,Private,"Houston, Texas, United States","Analytics, Consulting, Email Marketing, Marketing, SEO, Web Design, Web Development",TopSpot Internet Marketing is a search marketing agency.,"251,065",,"237,729"
Supera Fulfillment,https://www.crunchbase.com/organization/supera-fulfillment,101-250,High,Active,Private,"Houston, Texas, United States","Medical, Medical Device, Wellness",Supera Fulfillment provides medical test kits for the healthcare sectors.,"253,897",,"240,376"
SpeechPathology.com,https://www.crunchbase.com/organization/speechpathology-com,101-250,High,Active,Private,"Houston, Texas, United States",Education,Online continuing education for the life of your career,"255,018",,"241,445"
Cimarron,https://www.crunchbase.com/organization/cimarron-software,251-500,High,Active,Private,"Houston, Texas, United States","Information Technology, Robotics, Software","Cimarron is a provider of command, control, software and engineering services.","256,826",,"243,124"
Greenwood King Properties,https://www.crunchbase.com/organization/greenwood-king-properties,101-250,High,Active,Private,"Houston, Texas, United States",Real Estate,"Greenwood King Properties is a real estate company offering property development, buying, selling, and relocation services. ","258,303",,"244,506"
Imprint.Com,https://www.crunchbase.com/organization/imprint-com,251-500,High,Active,Private,"Houston, Texas, United States","Advertising, Digital Signage, E-Commerce, Printing, Product Design","Imprint.Com is a printing company that provides customized promotional products such as wristbands, balloons, mugs, and name badges.","261,717",,"247,723"
Colonial Oaks Senior Living,https://www.crunchbase.com/organization/colonial-oaks-senior-living,501-1000,High,Active,Private,"Houston, Texas, United States","Events, Health Care, Home Health Care, Nursing and Residential Care, Personal Health",Colonial Oaks Senior Living offers services like assisted living and memory care.,"263,055",,"248,996"
Frazer,https://www.crunchbase.com/organization/frazer-ltd,101-250,High,Active,Private,"Houston, Texas, United States",Automotive,"Frazer, Ltd. is an automotive company that provides new and used cars.","270,442",,"255,949"
NorthStar Memorial Group,https://www.crunchbase.com/organization/northstar-memorial-group,1001-5000,High,Active,Private,"Houston, Texas, United States",Information Technology,NorthStar Memorial Group is a family services company that represents cremation and memorialization locations.,"270,901",,"256,382"
ROGII,https://www.crunchbase.com/organization/rogii-inc,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Oil and Gas, Software",Software solutions for the oil and gas industry,"271,183",,"256,621"
Staff Solve,https://www.crunchbase.com/organization/staff-solve,251-500,High,Active,Private,"Houston, Texas, United States","Employment, Recruiting, Staffing Agency",Staff Solve is an employment agency.,"271,233",,"256,687"
Apex Health Solutions,https://www.crunchbase.com/organization/apex-health-solutions-295c,251-500,High,Active,Private,"Houston, Texas, United States","Consulting, Health Care, Health Insurance, Medical","Apex Health Solutions is a transformational healthcare company that creates alignment between healthcare systems, payers, and providers.","276,666",,"261,786"
UltraStaff,https://www.crunchbase.com/organization/ultrastaff,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Recruiting, Staffing Agency",UltraStaff provides health care staffing services.,"276,747",,"261,875"
O'Connor & Associates,https://www.crunchbase.com/organization/o-connor-associates,501-1000,High,Active,Private,"Houston, Texas, United States",Real Estate,"In business since 1974, we have the resources and unparalleled market expertise to provide you with all of your real estate valuation","280,413",,"265,366"
In-Home Attendant Services,https://www.crunchbase.com/organization/in-home-attendant-services,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Home Health Care, Medical, Personal Health","In-Home Attendant Services provides family care, community living assistance, and support services.","281,441",,"266,320"
Audiologyonline,https://www.crunchbase.com/organization/audiologyonline,101-250,High,Active,Private,"Houston, Texas, United States",Education,Online continuing education for the life of your career,"282,490",,"267,328"
Oil Patch Group,https://www.crunchbase.com/organization/oil-patch-group,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Oil and Gas, Renewable Energy, Service Industry",Oil Patch Group provides oil and gas services.,"284,521",,"269,246"
KS Staffing Group,https://www.crunchbase.com/organization/ks-staffing-group,1001-5000,High,Active,Private,"Houston, Texas, United States","Oil and Gas, Recruiting, Staffing Agency","KS Staffing Group is a recruitment firm that provides direct hire, temp-to-hire, project-based, and event staffing services.","285,434",,"270,097"
GenOn,https://www.crunchbase.com/organization/genon,1001-5000,High,Active,Private,"Houston, Texas, United States","Electrical Distribution, Energy, Energy Storage, Fuel, Oil and Gas, Power Grid",GenOn is a utility company that produces and supplies electricity to wholesale customers.,"286,677",,"271,291"
Clean Energy Services,https://www.crunchbase.com/organization/clean-energy-services,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy, Wind Energy",Clean Energy Services provides quality operations and maintenance services for the renewable energy industry.,"290,373",,"274,804"
Manufacturing Partnering Group,https://www.crunchbase.com/organization/manufacturing-partnering-group,101-250,High,Active,Private,"Houston, Texas, United States","Communities, Credit",Great awesome service and timely response,"294,709",,"278,898"
North Houston Pole Line,https://www.crunchbase.com/organization/north-houston-pole-line,1001-5000,High,Active,Private,"Houston, Texas, United States","Construction, Electrical Distribution",North Houston Pole Line provides infrastructure solutions for the electric power industry in Texas.,"296,584",,"280,682"
Fleekbiz,https://www.crunchbase.com/organization/fleekbiz,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, E-Commerce, Education, Financial Services, Gaming, Health Care, Information Technology, Marketing, Medical, Software","AI-powered, human-led. Fleekbiz delivers agile software, apps, and digital solutions to scale innovation and growth.","298,558",,"282,562"
Goree,https://www.crunchbase.com/organization/goree,101-250,High,Active,Private,"Houston, Texas, United States","Architecture, Automotive, Interior Design, Retail","Goree is a Houston-based automotive, commercial, and interiors architecture firm.","299,040",,"283,016"
"GOWell International, LLC",https://www.crunchbase.com/organization/gowell-international-llc,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Manufacturing, Oil and Gas",GOWell is supplier of world-class Wireline Logging equipment.,"299,676",,"283,632"
OccupationalTherapy.com,https://www.crunchbase.com/organization/occupationaltherapy-com,101-250,High,Active,Private,"Houston, Texas, United States",Education,Online continuing education for occupational therapists,"300,337",,"284,237"
Amerapex,https://www.crunchbase.com/organization/amerapex,251-500,High,Active,Private,"Houston, Texas, United States","Building Material, Energy, Real Estate, Renewable Energy",Amerapex is an oil & energy company.,"302,328",,"286,137"
IPT Global LLC,https://www.crunchbase.com/organization/ipt-global-llc,101-250,High,Active,Private,"Houston, Texas, United States","Information Technology, Oil and Gas, Software",IPT Global is a Texas-based software company that creates and develops pressure testing software for analysis and leak detection.,"304,120",,"287,847"
PNC Global Transfers,https://www.crunchbase.com/organization/pnc-global-transfers,101-250,High,Active,Private,"Houston, Texas, United States","Banking, Finance, Financial Services","PNC Financial Services Group, Inc. is an American bank holding company and financial services corporation that provides financial services.","306,611",,"290,238"
DataVox,https://www.crunchbase.com/organization/datavox,251-500,High,Active,Private,"Houston, Texas, United States","Data Center, Information Technology, Security, Software",DataVox is a technology company specializes in advanced business technology solutions including audio visual and cloud solutions.,"308,856",,"292,357"
Alltran,https://www.crunchbase.com/organization/united-recovery-systems,1001-5000,High,Active,Private,"Houston, Texas, United States","Finance, Financial Services, Lending",Alltran is a financial services company that offers accounts receivable management services.,"310,446",,"293,859"
Fox Mitchell Group,https://www.crunchbase.com/organization/fox-mitchell-group,101-250,High,Active,Private,"Houston, Texas, United States","Customer Service, Human Resources, Professional Services, Staffing Agency","Fox Mitchell Group is a staffing agency that assists businesses with consulting, staffing, and HR outsourcing services.","312,327",,"295,659"
Signco America,https://www.crunchbase.com/organization/signco-america,101-250,High,Active,Private,"Houston, Texas, United States","Advertising, Industrial Manufacturing, Mechanical Engineering","Signco America is involved in the design, production, and installation of custom large-format graphics, signage, and architectural elements.","326,557",,"309,179"
Republic State Mortgage,https://www.crunchbase.com/organization/republic-state-mortgage-nmls-62411,101-250,High,Active,Private,"Houston, Texas, United States","Banking, Finance, Financial Services, Mortgage",Republic State Mortgage is a financial services company offering mortgage banking solutions in Houston.,"329,774",,"312,213"
Asset Plus Companies,https://www.crunchbase.com/organization/asset-plus-companies,1001-5000,High,Active,Private,"Houston, Texas, United States",Real Estate,"Asset Plus Companies is a real estate company that provides property management, investment, and development services.","332,184",,"314,513"
The Alliance,https://www.crunchbase.com/organization/the-alliance-e247,251-500,High,Active,Private,"Houston, Texas, United States","Association, Non Profit, Social","The Alliance empowers refugees, immigrants, and underserved residents to attain self-sufficiency and enhance their quality of life.","335,321",,"317,531"
Breaktime Corner Market,https://www.crunchbase.com/organization/breaktime-corner-market,1001-5000,High,Active,Private,"Houston, Texas, United States","Commercial Real Estate, Real Estate, Rental Property","Breaktime Corner Market offers convenience stores, gas services, food options, ATMs, and retail spaces.","335,980",,"318,109"
HCC INSURANCE HOLDINGS,https://www.crunchbase.com/organization/hcc-insurance-holdings,1001-5000,High,Active,Private,"Houston, Texas, United States","Health Care, Insurance","HCC is a leading provider of medical stop loss insurance through brokers, consultants and third party administrators.","336,231",,"318,391"
Powers Brown Architecture,https://www.crunchbase.com/organization/powers-brown-architecture,101-250,High,Active,Private,"Houston, Texas, United States",Consulting,"Powers Brown Architecture is an architecture & planning company that offers architecture, interior design, and urban planning services.","341,634",,"323,504"
New Era Life Insurance Company,https://www.crunchbase.com/organization/new-era-life-insurance-company,101-250,High,Active,Private,"Houston, Texas, United States","Financial Services, Insurance, Life Insurance",New Era Life Insurance Company is an insurance company providing insurance and financial products.,"348,420",,"329,914"
Arch-Con Corporation,https://www.crunchbase.com/organization/arch-con-corporation,101-250,High,Active,Private,"Houston, Texas, United States",Real Estate,Arch-Con Corporation is a real estate construction firm specializing in commercial design and construction services.,"348,647",,"330,159"
Forney Construction,https://www.crunchbase.com/organization/forney-construction,101-250,High,Active,Private,"Houston, Texas, United States",Real Estate,Forney Construction is a construction company providing Construction and Construction Management services in the Greater Houston area.,"351,008",,"332,388"
Rise Association Management Group,https://www.crunchbase.com/organization/rise-association-management-group,101-250,High,Active,Private,"Houston, Texas, United States","Association, Communities, Facilities Support Services, Facility Management, Property Management","Rise Association Management Group is the leading HOA Management, high rise condominium, and Property Owners Association management firm.","351,103",,"332,488"
"Linbeck Group, LLC",https://www.crunchbase.com/organization/linbeck-group-llc,101-250,High,Active,Private,"Houston, Texas, United States","Commercial Real Estate, Construction",Linbeck is a technology-driven building construction firm.,"352,593",,"333,876"
"SEC Energy Products & Services, L.P.",https://www.crunchbase.com/organization/sec-energy-products-services-l-p,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Mining, Renewable Energy",SEC Energy Products & Services is an oil & energy company providing natural gas compressors.,"356,683",,"337,779"
Grant Prideco,https://www.crunchbase.com/organization/grant-prideco,5001-10000,High,Active,Private,"Houston, Texas, United States","Energy, Manufacturing","Offers development of drill stem technology, and manufacture, sale, and service of drill pipes, drill bit technology, and specialty tools.","357,842",,"338,836"
Lex Mundi,https://www.crunchbase.com/organization/lex-mundi,101-250,High,Active,Private,"Houston, Texas, United States","Law Enforcement, Professional Networking, Professional Services",Lex Mundi is the world’s leading network of independent law firms in Texas.,"359,581",,"340,492"
GPI Investment,https://www.crunchbase.com/organization/gpi-investment,101-250,High,Active,Private,"Houston, Texas, United States","Impact Investing, Property Development, Property Management, Real Estate Investment","GPI Investment is a real estate investment company that focuses on property development, management and administering services.","361,212",,"342,038"
Rawfully Organic,https://www.crunchbase.com/organization/rawfully-organic,1001-5000,High,Active,Private,"Houston, Texas, United States","Fruit, Non Profit, Organic Food, Wellness",Rawfully Organic is a non-profit co-operative that provides locally sourced organic fruits and vegetables to promote a healthy lifestyle.,"361,899",,"342,743"
Seamless Solutions,https://www.crunchbase.com/organization/seamless-solutions,101-250,High,Active,Private,"Houston, Texas, United States","Computer, CRM, Information Technology, Software","Seamless Solutions is a business supplies and equipment company providing IT, computer hardware, and software.","362,108",,"342,890"
Olshan Foundation Repair,https://www.crunchbase.com/organization/olshan-foundation-repair,101-250,High,Active,Private,"Houston, Texas, United States","Building Material, Real Estate","Olshan Foundation Repair is a construction company that offers repairing, waterproofing, and water management services.","362,744",,"343,500"
Forge USA,https://www.crunchbase.com/organization/forge-usa,101-250,High,Active,Private,"Houston, Texas, United States","Foundries, Industrial, Manufacturing",Forge USA is an industrial company that offers metal forging services.,"364,394",,"345,071"
Nova 401(k) Associates,https://www.crunchbase.com/organization/nova-401-k-associates,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Financial Services",Nova 401(k) Associates is a financial services firm headquartered in Houston.,"365,117",,"345,754"
GSFSGroup,https://www.crunchbase.com/organization/gsfsgroup,101-250,High,Active,Private,"Houston, Texas, United States","Automotive, Financial Services",GSFSGroup is an automotive financial services providing company.,"365,870",,"346,467"
The Menninger Clinic,https://www.crunchbase.com/organization/the-menninger-clinic,251-500,High,Active,Private,"Houston, Texas, United States","Education, Health Care, Hospital, Medical, Therapeutics","The Menninger Clinic is a healthcare firm that specializes in psychiatric treatment, research and professional education.","367,765",,"348,274"
Oil & Gas Admins International,https://www.crunchbase.com/organization/oil-gas-admins-international,1001-5000,High,Active,Private,"Houston, Texas, United States","Energy, Industrial, Oil and Gas",Oil & Gas Admins International is an organization that represents the oil and energy industry professionals and assists them in networking.,"368,688",,"349,184"
D.E. Harvey Builders,https://www.crunchbase.com/organization/d-e-harvey-builders,1001-5000,High,Active,Private,"Houston, Texas, United States",Real Estate,D.E. Harvey Builders is a construction company that provides pre-construction and contracting services.,"369,393",,"349,854"
American Surgical Professionals,https://www.crunchbase.com/organization/american-surgical-professionals,101-250,High,Active,Private,"Houston, Texas, United States",Health Care,"American Surgical Professionals is a provider of professional surgical assistant services to hospitals, clinics, surgeons and patients.","369,958",,"350,389"
Pilot Water Solutions,https://www.crunchbase.com/organization/pilot-water-solutions,101-250,High,Active,Private,"Houston, Texas, United States","Environmental Consulting, Recycling, Water","Pilot Water Solutions offers water management services for the oil and gas industry, including disposal, recycling, and logistics.","370,067",,"350,458"
St. Luke’s Health,https://www.crunchbase.com/organization/st-luke-s-health,1001-5000,High,Active,Private,"Houston, Texas, United States","Health Care, Hospital, Non Profit, Wellness",St. Luke’s Health provides advanced medical care offering diagnostic and comprehensive treatment services.,"371,090",,"351,481"
Triad Resources,https://www.crunchbase.com/organization/triad-resources,101-250,High,Active,Private,"Houston, Texas, United States","Human Resources, Information Technology, Robotics, Software",Triad Resources is a staffing and recruiting company providing risk management and project management solutions.,"371,776",,"352,134"
"GHX Industrial, LLC",https://www.crunchbase.com/organization/ghx-industrial-llc,501-1000,High,Active,Private,"Houston, Texas, United States",Manufacturing,GHX Industrial is a wholesale company specializing in fluid sealing and fluid transfer.,"372,179",,"352,481"
Travisoft,https://www.crunchbase.com/organization/travisoft,5001-10000,High,Active,Private,"Houston, Texas, United States","Computer, Software","Provides inventive software for benefit administrators, specializing in COBRA, ACA, Direct Bill and Cafeteria Plans. ","373,038",,"353,335"
Daxwell,https://www.crunchbase.com/organization/daxwell,101-250,High,Active,Private,"Houston, Texas, United States","Consumer Goods, Health Care, Manufacturing, Wholesale","Daxwell is a manufacturer of single-use product companies in healthcare, food service, and industrial disposables.","373,389",,"353,666"
ZTERS,https://www.crunchbase.com/organization/zters,101-250,High,Active,Private,"Houston, Texas, United States","Facilities Support Services, Recycling, Waste Management","ZTERS offers affordable commercial waste and construction site solutions to event producers, construction companies and project managers.","374,716",,"354,901"
CREW Houston,https://www.crunchbase.com/organization/crew-houston-is-a-commercial-real-estate-agency-network-such-as-luncheons-or-golf-tournament,251-500,High,Active,Private,"Houston, Texas, United States","Events, Marketing, Real Estate, Social Network",CREW Houston is a commercial real-estate agency network such as luncheons or golf tournament.,"374,868",,"355,046"
"Gaffney, Cline & Associates",https://www.crunchbase.com/organization/gaffney-cline-associates,501-1000,High,Active,Private,"Houston, Texas, United States",Consulting,"Gaffney, Cline & Associates is a petroleum consulting company.","376,269",,"356,385"
Restech,https://www.crunchbase.com/organization/restech-05b0,101-250,High,Active,Private,"Houston, Texas, United States","Biotechnology, Health Care, Medical Device",Restech offers minimally invasive tools and therapies to multiple specialties in order to accurately diagnose.,"379,752",,"359,655"
Perryman Company,https://www.crunchbase.com/organization/perryman-company,251-500,High,Active,Private,"Houston, Texas, United States","Manufacturing, Mining",Perryman Company is a mining & metals company offering titanium products.,"382,347",,"362,149"
HNW,https://www.crunchbase.com/organization/hnw,1001-5000,High,Active,Private,"Houston, Texas, United States",Wealth Management,HNW is a religious organization.,"383,609",,"363,363"
Electronic Power Design,https://www.crunchbase.com/organization/electronic-power-design,101-250,High,Active,Private,"Houston, Texas, United States","Electrical Distribution, Electronics, Manufacturing","Electronic Power Design has designed, built, and installed power solutions that manage the complexities of modern grids.","383,829",,"363,572"
Quietflex Manufacturing,https://www.crunchbase.com/organization/quietflex-manufacturing,101-250,High,Active,Private,"Houston, Texas, United States","Building Material, Heating, Ventilation, and Air Conditioning (HVAC), Industrial, Manufacturing, Product Design, Textiles",Quietflex is a manufacturing company which provides flex ducts and HVAC accessories.,"384,361",,"364,110"
TriSMART Solar,https://www.crunchbase.com/organization/trismart-solar,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy, Residential, Solar",TriSMART Solar provides residential and commercial solar solutions.,"384,675",,"364,413"
