ok Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Headquarters Location,Company Type,Operating Status,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
Realm.Security,https://www.crunchbase.com/organization/realm-security,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,Cyber Security,Realm.Security has created a platform that can combine and manage cybersecurity data,"11,549",,"10,243"
Author Health,https://www.crunchbase.com/organization/author-health,2023-06-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Medical, Psychology",Author Health provides care and treatment for Medicare Advantage recipients with substance use disorders and serious mental illness.,"11,837",,"10,496"
All Hands AI,https://www.crunchbase.com/organization/all-hands-ai,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Software",All Hands AI operates as an open source agent for developers.,"12,707",,"11,274"
Newleos Therapeutics,https://www.crunchbase.com/organization/newleos-therapeutics,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Neuroscience",Newleos Therapeutics is a biotech startup dedicated to producing safer and more effective neuroscience medicines.,"13,495",,"11,982"
"DBOS, Inc.",https://www.crunchbase.com/organization/dbos-inc,2023-03-11,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Cloud Computing, Database, Operating Systems, Software Engineering","Software development technology, cloud-native, serverless computing","14,475",,"12,886"
nChroma Bio,https://www.crunchbase.com/organization/nchroma-bio,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Medical, Product Research",nChroma Bio is a cutting-edge biotechnology business that is developing targeted in vivo delivery systems as well as best-in-class cargo.,"15,188",,"13,522"
Bluebird Kids Health,https://www.crunchbase.com/organization/bluebird-kids-health,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Hospital",Bluebird Kids Health delivers superior treatment to help every kid grow.,"16,649",,"14,858"
FutureMoney,https://www.crunchbase.com/organization/futuremoney-5b86,2023-01-06,day,"Boston, Massachusetts, United States",For Profit,Active,"Financial Services, Software","SaaS, FinTech, B2B, B2C, Wealth","17,266",,"15,426"
Code Metal,https://www.crunchbase.com/organization/code-metal,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Software","Code Metal delivers an AI-based development platform that transforms high-level code into edge-optimized, production-ready deployments.","17,436",,"15,584"
Biography,https://www.crunchbase.com/organization/biography-33df,2024-12-01,month,"Boston, Massachusetts, United States",For Profit,Active,Software,Building the future of human-computer interaction.,"18,418",,"16,484"
MacroCycle Technologies,https://www.crunchbase.com/organization/macrocycle,2023-07-01,month,"Cambridge, Massachusetts, United States",For Profit,Active,"Plastics and Rubber Manufacturing, Recycling",Circular Plastics. Zero Carbon Emissions.,"19,058",,"17,069"
Synquery,https://www.crunchbase.com/organization/synquery,2024-06-12,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Services, Real Time",Synquery is a platform for connecting users with human expertise through real-time communication and AI-assisted tools.,"19,705",,"17,666"
Alys Pharmaceuticals,https://www.crunchbase.com/organization/alys-pharmaceuticals,2024-02-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Health Care, Pharmaceutical",Alys Pharmaceuticals is a biopharmaceutical company focused on developing immuno-dermatology treatments.,"19,781",,"17,738"
Marveri,https://www.crunchbase.com/organization/marveri,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Legal Tech, Machine Learning, Software",Marveri is a tech company focused on revolutionizing corporate and transactional work.,"20,591",,"18,482"
Axal,https://www.crunchbase.com/organization/axal-82e5,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,Web3,Axal is an automated stablecoin savings provider.,"20,806",,"18,682"
Freckle,https://www.crunchbase.com/organization/freckle-b00d,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Data Management, Software",Freckle offers a data enrichment and research platform for non-technical users.,"21,629",,"19,444"
Hillstar Bio,https://www.crunchbase.com/organization/hillstar-bio,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Health Care, Medical",Hillstar Bio is developing precision immunotherapies to treat autoimmune diseases.,"21,735",,"19,546"
Tisento Therapeutics,https://www.crunchbase.com/organization/tisento-therapeutics,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Health Care, Medical, Therapeutics",Tisento Therapeutics is a MA-based developer of novel medicines to treat diseases with significant unmet medical needs.,"21,910",,"19,710"
Hike Medical,https://www.crunchbase.com/organization/hike-medical,2023-10-03,day,"Boston, Massachusetts, United States",For Profit,Active,"Computer Vision, Health Care, Machine Learning, Software","Hike is building the foot health platform—AI, 3D printing, and clinical tools powering care from jobsite to clinic to home.","23,135",,"20,852"
Orbit Technologies,https://www.crunchbase.com/organization/orbit-technologies-9771,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Market Research, Neuroscience",Orbit Technologies develops non-invasive brain-computer interfaces to improve gaming and virtual reality experiences.,"23,766",,"21,443"
Koya AI,https://www.crunchbase.com/organization/koya-ai,2023-04-05,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Data Integration, Data Management, E-Commerce, Generative AI, Machine Learning","Koya AI is a company that offers e-commerce data solutions, data enrichment, and categorization.","24,484",,"22,092"
Atacama Biomaterials,https://www.crunchbase.com/organization/atacama-biomaterials,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Advanced Materials, Artificial Intelligence (AI), CleanTech, Machine Learning, Packaging Services",Atacama Biomaterials is an AI driven biotech company that offers compostable and biodegradable plastic alternatives.,"25,436",,"22,984"
EnFi,https://www.crunchbase.com/organization/enfi-d0a0,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), FinTech, Risk Management",EnFi accelerate complex credit analysis and risk monitoring services.,"25,857",,"23,369"
Sesame Sustainability,https://www.crunchbase.com/organization/sesame-sustainability,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Analytics, Energy, SaaS","Sesame Sustainability is a SAAS company that offers industrial decarbonization platform for modeling, optimization, and analysis.","26,428",,"23,893"
NeuroNOS,https://www.crunchbase.com/organization/neuronos,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biopharma, Biotechnology, Medical",NeuroNOS is a company focused on developing innovative treatments for Autism Spectrum Disorder (ASD) and other neurological conditions.,"26,580",,"24,035"
Sora Fuel,https://www.crunchbase.com/organization/sora-fuel,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Fuel, Renewable Energy","Sora Fuel makes jet fuel from just air, water, and renewable energy.","26,776",,"24,222"
Pi Health,https://www.crunchbase.com/organization/pi-health,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,,Pi Health is a provider of platforms to assist oncology-related clinical trials with identifying sites and helping sponsors manage sites,"27,062",,"24,492"
Luminous,https://www.crunchbase.com/organization/luminous-3a60,2023-08-17,day,"Boston, Massachusetts, United States",For Profit,Active,Solar,Embodied AI for industrials beyond human capacity (e.g. solar construction),"28,582",,"25,883"
BlueShift,https://www.crunchbase.com/organization/blueshift-4105,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Assistive Technology, Mineral, Recycling",BlueShift operates as an electrochemical climate tech innovator.,"28,778",,"26,068"
Delineate,https://www.crunchbase.com/organization/delineate-2fc6,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Biotechnology, SaaS","Delineate offers evidence-based insights derived from research publications, patents, and databases to inform important business decisions.","29,423",,"26,667"
Acceleron Fusion,https://www.crunchbase.com/organization/acceleron-fusion,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,CleanTech,Acceleron Fusion provides clean energy solutions by using fusion technology.,"30,000",,"27,206"
CRABI Robotics,https://www.crunchbase.com/organization/crabi-robotics,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Manufacturing, Mechanical Engineering, Robotics",CRABI Robotics Engineering and Manufacturing firm developing cleaning machines for marine vessels and removel of biofouling.,"32,874",,"29,871"
Virtual Staging AI,https://www.crunchbase.com/organization/virtualstagingai,2023-01-09,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Apps, Artificial Intelligence (AI), Virtual Reality",Virtual Staging AI allows real estate professionals to digitally furnish images of empty rooms with one click.,"33,669",,"30,617"
Oligo,https://www.crunchbase.com/organization/oligo-4fd9,2023-11-01,day,"Cambridge, Massachusetts, United States",For Profit,Active,Space Travel,Oligo redefines lunar operations and orbit payload integration through Modular Reconfigurable Systems and Interfaces.,"34,054",,"30,982"
Cicada,https://www.crunchbase.com/organization/cicada-9dba,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Financial Services, Risk Management",Cicada offers third-party underwriting and pool management on DeFi Protocol and institutional risk advising services.,"34,279",,"31,195"
Newcase.ai,https://www.crunchbase.com/organization/newcase-ai,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Legal, Software",Newcase.ai is a Software Development firm offering risk management solutions on liability cases.,"36,191",,"32,962"
Prudentia Sciences,https://www.crunchbase.com/organization/prudentia-sciences,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology",Prudentia Sciences is a platform enables AI-powered Asset Diligence and Valuation to De-Risk Investment in Drug Development.,"36,687",,"33,433"
Enigma Aerospace,https://www.crunchbase.com/organization/enigma-aerospace,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Aerospace, Artificial Intelligence (AI), Drones, Logistics, Military, Software",Enigma Aerospace focuses on developing autonomous aerial logistics technologies targeted at defense and B2B markets.,"39,397",,"35,970"
Predicta Biosciences,https://www.crunchbase.com/organization/predicta-biosciences,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Health Diagnostics, Therapeutics",Predicta Biosciences uses multiomics and liquid biopsies in precision oncology to create innovative diagnostics and therapies.,"39,684",,"36,241"
SelfServe,https://www.crunchbase.com/organization/selfserve,2024-12-20,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Enterprise Resource Planning (ERP), Enterprise Software, Hospitality, Information Technology, Software","SelfServe is the AI-powered ""front desk"" that enhances hospitality for guests, and analytics for operators.","39,775",,"36,327"
Enlaye,https://www.crunchbase.com/organization/enlaye,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Software","Enlaye is a cloud-based platform for contract writing, negotiation, and deep collaboration.","40,929",,"37,403"
AugMend,https://www.crunchbase.com/organization/augmend,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Health Care, Mental Health",AugMend is a virtual reality therapy platform that utilizes biofeedback and AI to alleviate therapists' workloads and prevent relapses.,"42,119",,"38,527"
Quilt Health,https://www.crunchbase.com/organization/quilt-health,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Assisted Living, Health Care, Telehealth","Quilt Health is improving access to innovative treatments for rare and complex diseases, beginning with sickle cell disease.","42,230",,"38,629"
HYBRD,https://www.crunchbase.com/organization/hybrd,2024-10-09,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Fitness, Internet","HYBRD is a unified fitness platform for hybrid athletes, integrating wearables and AI to track cardio, strength, and holistic progress.","44,066",,"40,357"
Coolant,https://www.crunchbase.com/organization/coolant,2023-01-04,day,"Cambridge, Massachusetts, United States",For Profit,Active,Software,Coolant helps people measure how much carbon is stored in their trees with drones and computer vision.,"44,703",,"40,951"
Patented.ai,https://www.crunchbase.com/organization/the-licensing-corporation,2023-01-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Business Intelligence, DRM, Enterprise Applications, Innovation Management, Intellectual Property, Legal Tech, Market Research","Patented.ai provides unique, high-value IP products for innovators, funds, and litigators.","45,390",,"41,594"
Pascal,https://www.crunchbase.com/organization/pascal-d568,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Heating, Ventilation, and Air Conditioning (HVAC), Manufacturing",Pascal is a technological company that is developing a new class of solid refrigerants with the potential to alter HVAC sector.,"47,437",,"43,514"
Cephable,https://www.crunchbase.com/organization/cephable,2023-08-13,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Services, Information Technology, Internet",Cephable offers an ambient user interface platform that enables control of digital tools.,"47,721",,"43,777"
Dannce.ai,https://www.crunchbase.com/organization/dannce-ai,2023-09-05,day,"Boston, Massachusetts, United States",For Profit,Active,"Computer Vision, Health Care, Software",Building a better way to quantify neurological impairment,"49,137",,"45,104"
AdvocateMH,https://www.crunchbase.com/organization/advocatemh,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Mental Health, SaaS",AdvocateMH is a mental healthcare company that offers a platform designed to connect patients with resources required for their treatment.,"49,811",,"45,742"
Copley,https://www.crunchbase.com/organization/copley,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Content, Content Syndication",Copley is an AI-based content optimization platform that provides content experimentation and optimization services.,"51,486",,"47,333"
AstralBio,https://www.crunchbase.com/organization/astralbio,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biopharma, Biotechnology, Medical",AstralBio is a biotechnology company that offers medicines to treat cardiometabolic and immune-mediated diseases.,"52,856",,"48,607"
Gordion Bioscience,https://www.crunchbase.com/organization/gordion-bioscience,2023-05-01,month,"Cambridge, Massachusetts, United States",For Profit,Active,"Biopharma, Biotechnology, Health Care, Life Science, Machine Learning",MOTIVATED TO MAKE BETTER DRUGS - POWERED WITH TUMOR DATA - DELIVERED BY MACHINE LEARNING,"53,068",,"48,810"
First Touch,https://www.crunchbase.com/organization/first-touch-b4a9,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), SaaS, Sales, Sales Automation, Software",First Touch is an AI powered research and outreach that turns sales reps into super reps.,"53,379",,"49,104"
Sigmantic AI,https://www.crunchbase.com/organization/sigmantic-ai,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Developer Platform, Developer Tools, Information Technology, Machine Learning, SaaS, Software",Sigmantic AI provides AI-powered tools for generating and debugging hardware description language.,"53,620",,"49,332"
Affina,https://www.crunchbase.com/organization/affina-f69c,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Consumer, Loyalty Programs, Retail",Affina platform offers loyalty programs.,"54,101",,"49,783"
Patrol AI,https://www.crunchbase.com/organization/patrol-ai,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Marketing Automation, Service Industry",Patrol AI is an Digital Accessibility Service firm developing an automated platform for merchants.,"55,214",,"50,842"
TimeCredit AI,https://www.crunchbase.com/organization/timecredit-ai,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Chatbot, Financial Services, Software",TimeCredit AI offers an AI platform for automating financial reporting and credit risk management.,"55,296",,"50,917"
BitEnergy AI,https://www.crunchbase.com/organization/salieri-ai,2024-01-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Application Specific Integrated Circuit (ASIC), Artificial Intelligence (AI), Field-Programmable Gate Array (FPGA)",Running AI with Only A Bit Energy,"58,400",,"53,859"
Modality,https://www.crunchbase.com/organization/modality-f0ae,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Information Technology, Mental Health, Software, Wellness",Modality is a software company scaling infrastructure for mental and behavioral health paraprofessionals.,"58,706",,"54,147"
NeuroBionics,https://www.crunchbase.com/organization/neurobionics-8b40,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,Biotechnology,NeuroBionics is shaping the future of precision bioelectronic medicine.,"59,089",,"54,509"
Evolution Parent Holdings,https://www.crunchbase.com/organization/evolution-parent-holdings,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Business Development, Business Intelligence",Evolution Parent Holdings is a company that offers business services.,"60,324",,"55,675"
Cohora,https://www.crunchbase.com/organization/cohora,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Cosmetics, Fashion, Marketing, Travel",Cohora is a customer activation and engagement platform.,"60,801",,"56,119"
Difratech,https://www.crunchbase.com/organization/difratech,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Information Technology, SaaS, Software",Difratech is a company that offers technology services.,"66,411",,"61,435"
BoolSi,https://www.crunchbase.com/organization/boolsi,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), SaaS, Software",BoolSi is a command line tool for distributed simulations and analysis of synchronous Boolean networks.,"68,053",,"62,987"
SPORO Health,https://www.crunchbase.com/organization/sporo-health,2024-03-14,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Enterprise Applications, Generative AI, Health Care, Hospital, Medical, Mental Health, Outpatient Care, SaaS, Software",Automating Clinical Workflows using AI-Agents,"68,857",,"63,740"
Topo Therapeutics,https://www.crunchbase.com/organization/topo-therapeutics,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Biotechnology, Pharmaceutical",Topo Therapeutics offers expertise in structural biology and accelerates transmembrane protein drug discovery.,"69,966",,"64,801"
Northwind Climate,https://www.crunchbase.com/organization/northwind-climate,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,Analytics,Northwind Climate is a data-driven SaaS platform delivers proprietary business intelligence to companies.,"70,096",,"64,927"
Nodal,https://www.crunchbase.com/organization/nodal-f90a,2024-02-05,day,"Boston, Massachusetts, United States",For Profit,Active,"Internet, Professional Networking, Virtual Reality",Nodal is an IT firm making Virtual Assistant for port terminal operations.,"70,128",,"64,958"
Vertical Horizons,https://www.crunchbase.com/organization/vertical-horizons,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Industrial Manufacturing, Power Grid",Vertical Horizons is a tech company that offers next generation power supply units for AI & HPC.,"70,501",,"65,306"
OkamiAI,https://www.crunchbase.com/organization/okamiai,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology",OkamiAI is an artificial intelligence company.,"70,887",,"65,679"
Benchify,https://www.crunchbase.com/organization/benchify,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Information Technology, Software, Test and Measurement",Benchify is a software development firm offering review tool for the code that can help find bugs through testing.,"72,337",,"67,075"
Other Half,https://www.crunchbase.com/organization/other-half,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Clinical Trials, Pet, Veterinary","Other Half focuses on producing clean-label, human-grade supplements for dogs, clinical validation, and ingredient quality.","73,503",,"68,188"
Maven Bio,https://www.crunchbase.com/organization/maven-bio,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Biotechnology, Health Care","Maven Bio's AI-driven platform accelerates biopharma deal analysis, enhancing M&A intelligence and strategic decision-making.","74,065",,"68,724"
Winrate,https://www.crunchbase.com/organization/winrate,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Apps, Artificial Intelligence (AI), Meeting Software, Scheduling",Winrate is an AI-powered application designed to simplify meeting scheduling.,"75,270",,"69,876"
BlueBean,https://www.crunchbase.com/organization/bluebean-01f1,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Browser Extensions, Information Technology",BlueBean mission is to create a more sustainable business ecosystem by making smaller businesses more profitable.,"78,744",,"73,186"
Vocadian,https://www.crunchbase.com/organization/vocadian,2023-10-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Fitness, Health Care, SaaS, Wellness","Bringing predictive biorhythm management to deliver a safe, healthy and thriving workforce","81,597",,"75,884"
TripTap,https://www.crunchbase.com/organization/triptap,2023-09-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Mobile, Tourism, Travel","TripTap's AI platform personalizes travel planning with tailor-made itineraries, simplifying the process for smarter, enjoyable adventures.","85,465",,"79,578"
Propedix,https://www.crunchbase.com/organization/propedix-e19e,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biopharma, Medical, Pharmaceutical",Propedix is a company that makes new medicines and health products to help people feel better.,"85,588",,"79,697"
studio 3e8,https://www.crunchbase.com/organization/studio-3e8,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"3D Printing, Precious Metals, Robotics",Studio 3E8 offers an innovative platform that enhances accessibility to metal 3D printing and reduces costs significantly.,"87,118",,"81,157"
cortekAI,https://www.crunchbase.com/organization/cortekai,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,,cortekAI is a stealth mode technology startup.,"88,450",,"82,431"
Manta,https://www.crunchbase.com/organization/manta-ae69,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Internet",Manta is the AI platform reinventing how organizations access and apply data science.,"89,168",,"83,120"
Florey Biosciences,https://www.crunchbase.com/organization/florey-biosciences,2024-04-01,month,"Cambridge, Massachusetts, United States",For Profit,Active,"Analytics, Biopharma, Biotechnology",Florey Biosciences engineers probiotics using synthetic biology for human health.,"89,584",,"83,515"
"Fortuna-Insights, Inc.",https://www.crunchbase.com/organization/fortuna-insights-inc,2023-01-10,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Legal Tech, Software",Legal Tech,"90,863",,"84,736"
